Frame,Flat,Construction,Object,Nature,Sky,Human,Vehicle
frame_0216,0.2032,0.2954,0.0010,0.2781,0.1070,0.0926,0.0227
frame_0217,0.2035,0.2966,0.0013,0.2755,0.1128,0.0958,0.0143
frame_0218,0.2076,0.2863,0.0015,0.2781,0.1076,0.0984,0.0205
frame_0219,0.2142,0.2850,0.0019,0.2787,0.1054,0.0927,0.0222
frame_0220,0.2189,0.2830,0.0025,0.2773,0.1131,0.0943,0.0108
frame_0221,0.2135,0.2817,0.0017,0.2792,0.1116,0.0972,0.0150
frame_0222,0.2201,0.2603,0.0020,0.2768,0.1123,0.0963,0.0321
frame_0223,0.2224,0.2828,0.0016,0.2728,0.1132,0.0909,0.0163
frame_0224,0.2306,0.2839,0.0017,0.2717,0.1121,0.0854,0.0145
frame_0225,0.2299,0.2835,0.0019,0.2714,0.1143,0.0895,0.0094
frame_0226,0.2338,0.2849,0.0012,0.2662,0.1153,0.0827,0.0158
frame_0227,0.2318,0.2760,0.0030,0.2650,0.1172,0.0917,0.0152
frame_0228,0.2279,0.2741,0.0065,0.2592,0.1185,0.1057,0.0081
frame_0229,0.2377,0.2593,0.0069,0.2642,0.1185,0.1072,0.0063
frame_0230,0.2266,0.2824,0.0025,0.2635,0.1219,0.0983,0.0048
frame_0231,0.2284,0.2788,0.0035,0.2616,0.1236,0.0944,0.0096
frame_0232,0.2252,0.2568,0.0043,0.2662,0.1284,0.0894,0.0296
frame_0233,0.2298,0.2440,0.0044,0.2712,0.1338,0.0922,0.0246
frame_0234,0.2369,0.2380,0.0031,0.2749,0.1450,0.0874,0.0147
frame_0235,0.2315,0.2310,0.0052,0.2721,0.1551,0.0892,0.0159
frame_0236,0.2480,0.2187,0.0034,0.2697,0.1657,0.0866,0.0078
frame_0237,0.2484,0.2087,0.0033,0.2739,0.1741,0.0739,0.0176
frame_0238,0.2488,0.2033,0.0028,0.2549,0.1815,0.0882,0.0204
frame_0239,0.2506,0.1970,0.0057,0.2370,0.1880,0.1010,0.0207
frame_0240,0.2666,0.2045,0.0027,0.2263,0.1940,0.0850,0.0209
frame_0241,0.2754,0.2007,0.0036,0.2154,0.2012,0.0894,0.0143
frame_0242,0.2726,0.1879,0.0046,0.2170,0.2066,0.0932,0.0181
frame_0243,0.2788,0.1889,0.0072,0.2143,0.2092,0.0918,0.0097
frame_0244,0.2783,0.1896,0.0063,0.2124,0.2119,0.0832,0.0184
frame_0245,0.2690,0.1894,0.0068,0.2100,0.2147,0.0925,0.0174
frame_0246,0.2654,0.1850,0.0080,0.2105,0.2131,0.0852,0.0328
frame_0247,0.2620,0.1888,0.0056,0.2155,0.2130,0.0861,0.0290
frame_0248,0.2607,0.1883,0.0055,0.2200,0.2112,0.0849,0.0293
frame_0249,0.2537,0.1853,0.0097,0.2262,0.2115,0.0884,0.0251
frame_0250,0.2399,0.1805,0.0118,0.2368,0.2129,0.0826,0.0354
frame_0251,0.2436,0.1758,0.0060,0.2554,0.2108,0.0782,0.0301
frame_0252,0.2400,0.1836,0.0052,0.2498,0.2113,0.0824,0.0277
frame_0253,0.2359,0.1983,0.0066,0.2452,0.2090,0.0761,0.0290
frame_0254,0.2364,0.1975,0.0067,0.2491,0.2058,0.0800,0.0246
frame_0255,0.2407,0.1991,0.0056,0.2558,0.2015,0.0773,0.0199
frame_0256,0.2464,0.1968,0.0068,0.2548,0.1969,0.0831,0.0152
frame_0257,0.2597,0.1979,0.0071,0.2454,0.1906,0.0801,0.0192
frame_0258,0.2726,0.1995,0.0085,0.2457,0.1816,0.0812,0.0110
frame_0259,0.2707,0.2028,0.0042,0.2518,0.1749,0.0779,0.0177
frame_0260,0.2698,0.2039,0.0078,0.2551,0.1673,0.0850,0.0110
frame_0261,0.2195,0.2602,0.0089,0.2602,0.1589,0.0841,0.0081
frame_0262,0.2407,0.2373,0.0073,0.2741,0.1455,0.0823,0.0129
frame_0263,0.2105,0.2708,0.0057,0.2879,0.1312,0.0846,0.0093
frame_0264,0.2816,0.2074,0.0030,0.3038,0.1163,0.0817,0.0063
frame_0265,0.2770,0.2107,0.0050,0.3129,0.1104,0.0739,0.0101
frame_0266,0.2693,0.2154,0.0028,0.3202,0.1020,0.0864,0.0039
frame_0267,0.2718,0.2115,0.0033,0.3247,0.1032,0.0827,0.0028
frame_0268,0.2717,0.2205,0.0022,0.3270,0.0965,0.0768,0.0053
frame_0269,0.2625,0.2223,0.0019,0.3327,0.0920,0.0823,0.0062
frame_0270,0.2624,0.2242,0.0024,0.3351,0.0872,0.0837,0.0049
frame_0271,0.2600,0.2248,0.0023,0.3367,0.0870,0.0881,0.0011
frame_0272,0.2625,0.2263,0.0025,0.3388,0.0844,0.0821,0.0034
frame_0273,0.2403,0.2439,0.0028,0.3383,0.0825,0.0894,0.0029
frame_0274,0.2505,0.2256,0.0025,0.3453,0.0794,0.0932,0.0033
frame_0275,0.2211,0.2550,0.0036,0.3545,0.0743,0.0819,0.0096
frame_0276,0.2637,0.2055,0.0025,0.3626,0.0716,0.0838,0.0103
frame_0277,0.2387,0.2262,0.0041,0.3748,0.0650,0.0875,0.0036
frame_0278,0.2007,0.2661,0.0027,0.3712,0.0646,0.0906,0.0042
frame_0279,0.2425,0.2261,0.0019,0.3733,0.0582,0.0963,0.0017
frame_0280,0.2495,0.2260,0.0023,0.3700,0.0567,0.0926,0.0027
frame_0281,0.2323,0.2469,0.0043,0.3709,0.0539,0.0845,0.0073
frame_0282,0.2361,0.2409,0.0011,0.3728,0.0520,0.0899,0.0071
frame_0283,0.2374,0.2459,0.0017,0.3621,0.0507,0.0949,0.0073
frame_0284,0.2389,0.2402,0.0032,0.3584,0.0503,0.0866,0.0224
frame_0285,0.2435,0.2439,0.0022,0.3613,0.0491,0.0858,0.0142
frame_0286,0.2295,0.2419,0.0022,0.3649,0.0478,0.1006,0.0130
frame_0287,0.2329,0.2426,0.0015,0.3682,0.0482,0.0847,0.0218
frame_0288,0.2290,0.2486,0.0007,0.3645,0.0508,0.0829,0.0235
frame_0289,0.2230,0.2492,0.0060,0.3625,0.0529,0.0938,0.0126
frame_0290,0.2145,0.2558,0.0005,0.3534,0.0542,0.1086,0.0131
frame_0291,0.2287,0.2535,0.0011,0.3415,0.0572,0.0998,0.0181
frame_0292,0.2389,0.2509,0.0022,0.3363,0.0600,0.1032,0.0084
