Frame,GreenViewIndex
frame_0572,0.4218
frame_0573,0.4357
frame_0574,0.4278
frame_0575,0.4368
frame_0576,0.4412
frame_0577,0.4441
frame_0578,0.4447
frame_0579,0.4268
frame_0580,0.4209
frame_0581,0.4193
frame_0582,0.4177
frame_0583,0.4193
frame_0584,0.4154
frame_0585,0.4164
frame_0586,0.4131
frame_0587,0.4056
frame_0588,0.3985
frame_0589,0.3951
frame_0590,0.3898
frame_0591,0.3927
frame_0592,0.3874
frame_0593,0.3805
frame_0594,0.3760
frame_0595,0.3733
frame_0596,0.3819
frame_0597,0.3807
frame_0598,0.3856
frame_0599,0.3884
frame_0600,0.3882
frame_0601,0.3959
frame_0602,0.3950
frame_0603,0.3964
frame_0604,0.3919
frame_0605,0.3918
frame_0606,0.3974
frame_0607,0.4037
frame_0608,0.4005
frame_0609,0.4036
frame_0610,0.4006
frame_0611,0.4018
frame_0612,0.3995
frame_0613,0.4021
frame_0614,0.4035
frame_0615,0.4061
frame_0616,0.4001
frame_0617,0.3962
frame_0618,0.3963
frame_0619,0.3960
frame_0620,0.3897
frame_0621,0.3890
frame_0622,0.3841
frame_0623,0.3819
frame_0624,0.3756
frame_0625,0.3709
frame_0626,0.3678
frame_0627,0.3687
frame_0628,0.3632
frame_0629,0.3655
frame_0630,0.3576
frame_0631,0.3620
frame_0632,0.3571
frame_0633,0.3559
frame_0634,0.3583
frame_0635,0.3532
frame_0636,0.3578
frame_0637,0.3568
frame_0638,0.3554
frame_0639,0.3534
frame_0640,0.3454
frame_0641,0.3497
frame_0642,0.3443
frame_0643,0.3528
frame_0644,0.3633
frame_0645,0.3687
frame_0646,0.3597
frame_0647,0.3495
frame_0648,0.3463
frame_0649,0.3312
frame_0650,0.3222
frame_0651,0.3085
frame_0652,0.2976
frame_0653,0.2865
frame_0654,0.2780
frame_0655,0.2670
frame_0656,0.2600
frame_0657,0.2497
frame_0658,0.2404
frame_0659,0.2306
frame_0660,0.2215
frame_0661,0.2164
frame_0662,0.2047
frame_0663,0.1944
frame_0664,0.1879
frame_0665,0.1776
frame_0666,0.1821
frame_0667,0.1742
frame_0668,0.1747
frame_0669,0.1705
frame_0670,0.1571
frame_0671,0.1500
frame_0672,0.1442
frame_0673,0.1355
frame_0674,0.1335
frame_0675,0.1259
frame_0676,0.1277
frame_0677,0.1294
frame_0678,0.1279
frame_0679,0.1280
frame_0680,0.1275
frame_0681,0.1276
frame_0682,0.1300
frame_0683,0.1278
frame_0684,0.1276
frame_0685,0.1302
frame_0686,0.1291
frame_0687,0.1311
frame_0688,0.1317
frame_0689,0.1329
frame_0690,0.1347
frame_0691,0.1353
frame_0692,0.1352
frame_0693,0.1364
