audio_frame_idx,start_time_sec,end_time_sec,top_class,top_score,avg_score,max_score
378,181.449255,181.929279,Speech,0.883865,0.002069,0.883865
379,181.929279,182.409304,Speech,0.984580,0.002166,0.984580
380,182.409304,182.889328,Speech,0.974597,0.002125,0.974597
381,182.889328,183.369353,Speech,0.794265,0.001760,0.794265
382,183.369353,183.849377,Speech,0.919231,0.001983,0.919231
383,183.849377,184.329402,Speech,0.960108,0.002202,0.960108
384,184.329402,184.809426,Speech,0.837965,0.002527,0.837965
385,184.809426,185.289451,Speech,0.928446,0.001988,0.928446
386,185.289451,185.769475,Speech,0.769516,0.001782,0.769516
387,185.769475,186.249500,Speech,0.933373,0.002079,0.933373
388,186.249500,186.729524,Speech,0.993746,0.001971,0.993746
389,186.729524,187.209549,Speech,0.978225,0.001996,0.978225
390,187.209549,187.689573,Speech,0.557820,0.001490,0.557820
391,187.689573,188.169598,Speech,0.882135,0.001865,0.882135
392,188.169598,188.649622,Speech,0.793736,0.002350,0.793736
393,188.649622,189.129647,Speech,0.741030,0.002351,0.741030
394,189.129647,189.609671,Speech,0.995485,0.002029,0.995485
395,189.609671,190.089695,Speech,0.981165,0.002019,0.981165
396,190.089695,190.569720,Speech,0.995414,0.002045,0.995414
397,190.569720,191.049744,Speech,0.863615,0.002008,0.863615
398,191.049744,191.529769,Speech,0.722308,0.001937,0.722308
399,191.529769,192.009793,Wild animals,0.527096,0.003720,0.527096
400,192.009793,192.489818,Animal,0.210624,0.003316,0.210624
401,192.489818,192.969842,Speech,0.434052,0.001398,0.434052
402,192.969842,193.449867,Speech,0.661737,0.001864,0.661737
403,193.449867,193.929891,Speech,0.636401,0.001821,0.636401
404,193.929891,194.409916,Speech,0.860473,0.002006,0.860473
405,194.409916,194.889940,Speech,0.930786,0.002142,0.930786
406,194.889940,195.369965,Speech,0.874868,0.001901,0.874868
407,195.369965,195.849989,Speech,0.794494,0.002015,0.794494
408,195.849989,196.330014,Speech,0.918763,0.002192,0.918763
409,196.330014,196.810038,Speech,0.964612,0.002181,0.964612
410,196.810038,197.290063,Speech,0.914620,0.002145,0.914620
411,197.290063,197.770087,Speech,0.809941,0.002108,0.809941
412,197.770087,198.250112,Speech,0.832752,0.002466,0.832752
413,198.250112,198.730136,Speech,0.895963,0.002114,0.895963
414,198.730136,199.210161,Speech,0.811751,0.001890,0.811751
415,199.210161,199.690185,Speech,0.774078,0.002416,0.774078
416,199.690185,200.170210,Speech,0.492796,0.001743,0.492796
417,200.170210,200.650234,Speech,0.072495,0.000941,0.072495
418,200.650234,201.130259,Speech,0.656468,0.001779,0.656468
419,201.130259,201.610283,Speech,0.868170,0.002231,0.868170
420,201.610283,202.090308,Speech,0.899640,0.002450,0.899640
421,202.090308,202.570332,Speech,0.845779,0.002287,0.845779
422,202.570332,203.050357,Speech,0.869240,0.002092,0.869240
423,203.050357,203.530381,Speech,0.801699,0.001957,0.801699
424,203.530381,204.010406,Speech,0.835025,0.001997,0.835025
425,204.010406,204.490430,Speech,0.745901,0.002370,0.745901
426,204.490430,204.970454,Speech,0.472689,0.002761,0.472689
427,204.970454,205.450479,Speech,0.682340,0.002272,0.682340
428,205.450479,205.930503,Speech,0.740771,0.002473,0.740771
429,205.930503,206.410528,Water,0.361250,0.005151,0.361250
430,206.410528,206.890552,Music,0.112315,0.001731,0.112315
431,206.890552,207.370577,Speech,0.738859,0.002571,0.738859
432,207.370577,207.850601,Speech,0.825607,0.001928,0.825607
433,207.850601,208.330626,Speech,0.903651,0.002337,0.903651
434,208.330626,208.810650,Speech,0.886577,0.001993,0.886577
435,208.810650,209.290675,Speech,0.960623,0.002108,0.960623
436,209.290675,209.770699,Speech,0.867217,0.001911,0.867217
437,209.770699,210.250724,Snake,0.173017,0.002003,0.173017
438,210.250724,210.730748,Speech,0.949840,0.002166,0.949840
439,210.730748,211.210773,Speech,0.908147,0.001954,0.908147
440,211.210773,211.690797,Speech,0.924928,0.002121,0.924928
441,211.690797,212.170822,Speech,0.907340,0.002321,0.907340
442,212.170822,212.650846,Speech,0.910892,0.002106,0.910892
443,212.650846,213.130871,Speech,0.833104,0.001944,0.833104
